ID,Name,Category,SubCategory,Phase,Brand,Unit,LowestPrice,Description,SourcesCount
flr_marble_galala,رخام طبيعي جلالة سادة مقاسات,أرضيات,رخام طبيعي,فنش,,متر مربع,450,,4
flr_porc_gloria,بورسلين جلوريا 60x120 هندي,أرضيات,بورسلين,فنش,Gloria,متر مربع,550,,4
flr_spc_flooring,أرضيات SPC مقاومة للماء 4 مم,أرضيات,SPC,فنش,,متر مربع,520,,4
flr_waterproof,عزل كيميائي سيكا 107,العزل والمواد الخصوصية,عزل مائي,فنش,Sika,مجموعة,650,,1
glass_shower_cabin,كابينة شاور زجاج سيكوريت 10 مم مفصلات,الألوميتال والزجاج,كبائن شاور,فنش,,متر مربع,2100,,1
gyp_c_channel,قطاع سي تشانل صاج 0.4 مم,الأسقف والجبسون بورد,جبسون بورد,فنش,,عود (3 متر),38,,1
gyp_joint_tape,شريط فواصل (جوينت تيب) شبك 90 متر,الأسقف والجبسون بورد,جبسون بورد,فنش,,لفة,85,,1
gyp_omega_profile,قطاع أوميجا صاج مجلفن للجبسون بورد 0.4 مم,الأسقف والجبسون بورد,جبسون بورد,فنش,,عود (3 متر),45,,1
gypsum_board_green,لوح جبسون بورد كناوف أخضر (مقاوم للرطوبة),الأسقف والجبسون بورد,جبسون بورد,فنش,Knauf,لوح,245,,1
gypsum_board_knauf,لوح جبسون بورد كناوف أبيض,الأسقف والجبسون بورد,جبسون بورد,فنش,Knauf,لوح,185,,1
hGNcPXEFNBKjjMhnaOp2,شاكوش تكسير / هيلتي (SDS-Max),أدوات ومعدات التنفيذ,أدوات يدوية وكهربائية,تأسيس,Bosch / Hilti,قطعة,6222,1500W-1800W لأعمال التكسير والهدم الشاق,2
hvac_ac_sharp_1.5,تكييف شارب 1.5 حصان إنفرتر بارد/ساخن,تكييف,تكييفات,فنش,Sharp,جهاز,28500,,2
hvac_duct_flexible,دكت فليكسيبول معزول حرارياً 6 بوصة,تكييف,دكت,تأسيس,,متر,85,,4
hvac_duct_galvanized,صاج مجلفن لتصنيع الدكت (Duct) قياس 24,تكييف,دكت,تأسيس,,متر مربع,320,,4
hvac_grille_aluminum,جريلات تهوية ألومنيوم تكييف مركزي 60×15 سم,تكييف,جريلات تهوية,فنش,,قطعة,450,,4
iLkk57CyTTuxsfl3dH2M,بديل خشب WPC مضلع داخلي,ديكورات وتكسيات,بديل خشب WPC,فنش,Decothane / Walltech,متر مربع,358,ديكور حوائط مضاد للرطوبة والحشرات مقاس اللوح 122*18سم,2
insul_epoxy_floor,دهان إيبوكسي للأرضيات (سيكا),العزل والمواد الخصوصية,إيبوكسي,فنش,Sika,مجموعة (20 كجم),3200,,1
insul_membrane_4mm,لفائف ممبرين عزل أسطح 4 مم (بيتومين),العزل والمواد الخصوصية,عزل مائي,تأسيس,,لفة (10 متر),850,,1
insul_rockwool,صوف صخري للعزل الحراري والصوتي (Rockwool) كثافة 70,العزل والمواد الخصوصية,عزل حراري وصوتي,تأسيس,,متر مربع,150,,1
k6efkkLjD0nKOyVBCr7x,كرانيش جبس هندسي / EPS فوم,ديكورات وتكسيات,كرانيش وزوايا,فنش,محلية,متر طولي,100,ديكور تقاطع السقف مع الحائط,2
kitch_builtin_hob_fresh,مسطح غاز بلت إن فريش 5 شعلة زجاج,المطابخ والرخام,أجهزة بلت-إن,فنش,Fresh,جهاز,6500,,2
kitch_builtin_oven_bosch,فرن كهرباء بلت إن بوش 60 سم (Bosch),المطابخ والرخام,أجهزة بلت-إن,فنش,Bosch,جهاز,22500,,2
kitch_granite_double_black,جرانيت دبل بلاك هندي للمطابخ,المطابخ والرخام,رخام وجرانيت,فنش,,متر طولي,1800,,1
kitch_hpl_board,لوح مطبخ HPL مضاد للخدش والمياه 122x280,المطابخ والرخام,خامات مطابخ,فنش,,لوح,2200,,1
kitch_sink_franke,حوض مطبخ استانلس ستيل 2 عين فرانكي (Franke),المطابخ والرخام,أحواض مطابخ,فنش,Franke,قطعة,4500,,1
land_artificial_grass,نجيل صناعي كثافة عالية 4 سم (لاند سكيب),الواجهات واللاند سكيب,لاند سكيب,فنش,,متر مربع,220,,1
lxIXDeKu0a7RoCYwPUMo,خوذة حماية هندسية (نظارة، حماية أذن),أدوات ومعدات التنفيذ,معدات حماية شخصية (PPE),تأسيس,3M / Honeywell,طقم,100,معدات حماية شخصية (PPE) مطابقة للمواصفات,2
m5IiVlrWqBXuVVMtlJXx,أرضيات SPC فلورينج (مقاوم للماء),أرضيات,SPC,فنش,Egger / Decno,متر مربع,206,بديل الباركيه الخشبي، سماكة 5 مم مقاوم للماء 100%,2
pL0wGPXgfMjJzWFLA78R,سقالة معدنية ألومنيوم (متر مربع / إيجار),أدوات ومعدات التنفيذ,سقالات ومعدات ثقيلة,تأسيس,Layher / محلية,متر,100,إيجار سقالات للواجهات والأعمال المرتفعة,2
plm_acc_ideal,طقم إكسسوار حمام 6 قطع إيديال ستاندرد,سباكة,إكسسوارات حمام,إكسسوارات,Ideal Standard,طقم,2800,,4
plm_drain_2,ماسورة صرف 2 بوصة كاسل,سباكة,صرف,تأسيس,Kassel,قطعة,180,,4
plm_drain_3,ماسورة صرف 3 بوصة كاسل,سباكة,صرف,تأسيس,Kassel,قطعة,260,,4
plm_drain_4,ماسورة صرف 4 بوصة كاسل,سباكة,صرف,تأسيس,Kassel,قطعة,340,,4
plm_heater_elec,سخان كهرباء أريستون 50 لتر,سباكة,سخانات مياه,فنش,Ariston,قطعة,4800,,4
plm_heater_gas,سخان غاز تورنيدو 10 لتر,سباكة,سخانات مياه,فنش,Tornado,قطعة,3900,,4
plm_heater_instant,سخان مياه فوري كهربائي 9 كيلو وات (Stiebel Eltron),سباكة,سخانات مياه,فنش,,جهاز,8500,,4
plm_insulation_1,عزل حراري للمواسير 1 بوصة ارم فليكس,سباكة,عزل حراري,تأسيس,,متر,25,,4
plm_mixer_grohe,خلاط حوض جروهي بوفا,سباكة,خلاطات وأحواض,فنش,Grohe,قطعة,3500,,4
plm_mixer_ideal,خلاط دفن إيديال ستاندرد,سباكة,خلاطات وأحواض,فنش,Ideal Standard,قطعة,4200,,4
plm_pipe_1,ماسورة تغذية 1 بوصة بي آر (BR),سباكة,مواسير سباكة,تأسيس,BR,قطعة,210,,4
plm_pipe_3_4,ماسورة تغذية 3/4 بوصة بي آر (BR),سباكة,مواسير سباكة,تأسيس,BR,قطعة,155,,4
plm_sink_dura,حوض ديورافيت دي كود 60سم,سباكة,خلاطات وأحواض,فنش,Duravit,قطعة,1250,,4
plm_sink_duravit,حوض وتواليت معلق ديورافيت ستاركي,سباكة,خلاطات وأحواض,فنش,Duravit,طقم,7500,,4
plumb_mix_hansgrohe,خلاط حوض هانز جروهي (Hansgrohe) فوكس,سباكة,خلاطات وأحواض,فنش,Grohe,قطعة,4200,,1
plumb_pump_calpeda_1hp,موتور مياه كالبيدا 1 حصان إيطالي,سباكة,مواتير مياه,تأسيس,Calpeda,قطعة,5800,,2
plumb_tank_poly_1000,خزان مياه بولي إيثيلين 1000 لتر 3 طبقات,سباكة,خزانات مياه,تأسيس,,قطعة,3200,,1
plumb_toilet_duravit_starck,طقم تواليت ديورافيت ستاركي 3 مع السديلي,سباكة,أطقم حمامات,فنش,Duravit,طقم,4800,,2
pnt_acrylic_scib,دهان أكريليك قابل للغسيل سايب (SCIB),دهانات,أكريليك,فنش,SCIB / Sipes,بستلة,1450,,1
pnt_deco_velvet,دهان ديكوري قطيفة لؤلؤي,دهانات,دهانات ديكورية,فنش,GLC,جالون,450,,1
pnt_enamel_glc,لاكيه GLC لامع,دهانات,لاكيه,فنش,GLC,جالون,280,,1
pnt_glc_storm,دهان خارجي ستورم شيلد GLC,دهانات,خارجي,فنش,GLC,بستلة,1850,,1
pnt_jotashield,دهان خارجي جوتاشيلد كلر لاست,دهانات,خارجي,فنش,,بستلة,2200,,1
pnt_plastic_jotun,بلاستيك جوتن فينوماستيك مط,دهانات,بلاستيك,فنش,Jotun,بستلة,1650,,2
pnt_primer_glc,برايمر مائي مانع للرطوبة GLC,دهانات,بريمر,تأسيس,GLC,بستلة,520,,1
pnt_putty_glc,معجون أكريليك GLC دايتون,دهانات,معجون,تأسيس,GLC,بستلة 15 كجم,320,,1
pnt_sealer_glc,سيلر مائي GLC,دهانات,سيلر,تأسيس,GLC,بستلة,450,,1
pnt_sipes_plastic,دهان بلاستيك مط سايبس 700 (Sipes),دهانات,بلاستيك,فنش,SCIB / Sipes,بستلة,650,,1
pnt_thinner_cold,تنر بارد دبابة (للتخفيف والتنظيف),دهانات,تنر ومذيبات,فنش,,جالون,180,,1
smart_hub_tuya,وحدة تحكم مركزية Smart Gateway (Tuya),التيار الخفيف والأنظمة,سمارت هوم,إكسسوارات,,قطعة,1250,,4
smart_switch_wifi,مفتاح إضاءة ذكي واي فاي (Sonoff),التيار الخفيف والأنظمة,سمارت هوم,إكسسوارات,,قطعة,450,,4
sound_amp_60w,مكبر صوت Amplifier 60W,التيار الخفيف والأنظمة,ساوند سيستم,إكسسوارات,,قطعة,3200,,4
sound_speaker_ceil,سماعة سقف غاطس 6 وات بوش (Bosch),التيار الخفيف والأنظمة,ساوند سيستم,إكسسوارات,,قطعة,950,,4
stone_hashma,حجر هاشمي هيصم للواجهات,الواجهات واللاند سكيب,حجر صناعي وطبيعي,فنش,,متر مربع,350,,1
stone_mica,حجر مايكا ديكور داخلي,الواجهات واللاند سكيب,حجر صناعي وطبيعي,فنش,,متر مربع,650,,1
upvc_window_soundproof,شباك uPVC دبل جلاس عازل للصوت والحرارة,الألوميتال والزجاج,uPVC,فنش,,متر مربع,4200,,1
vent_fresh_20,شفاط مطبخ فريش 20 سم,تكييف,شفاطات,فنش,Fresh,قطعة,550,,4
vent_kdk_25,شفاط سقف باناسونيك (KDK) 25 سم,تكييف,شفاطات,فنش,Panasonic,قطعة,1200,,4
wall_glass_cladding,تجليد حوائط زجاج سيكوريت 10 مم ديكور,الألوميتال والزجاج,زجاج ومرايا,فنش,,متر مربع,1800,,1
wall_marble_sheet,تجليد بديل الرخام,المطابخ والرخام,تغليف حوائط,فنش,,لوح (1.2م×2.4م),650,,1
wall_pvc_panel,تجليد حوائط بديل الخشب PVC,المطابخ والرخام,تغليف حوائط,فنش,,لوح (12سم×2.8م),220,,1
wood_lock_ahram,كالون باب شقة عادة أسطواني الأهرام,نجارة,إكسسوارات أبواب,فنش,Ahram,قطعة,350,,1
wood_lock_smart_yale,كالون باب ذكي ببصمة الإصبع وكارت (Yale),نجارة,إكسسوارات أبواب,فنش,Yale,قطعة,8500,,2
zFkE9niXpWy4EHXiUWEr,كمامة حماية من الغبار N95,أدوات ومعدات التنفيذ,معدات حماية شخصية (PPE),تأسيس,3M,علبة (10 قطع),100,ضرورية أثناء أعمال الهدم والصنفرة,2
